Year,CO2,CH4,N2O,CFC12,CFC11,15-minor,Total,CO2-eq<br>ppm,AGGI<br> 1990 = 1,AGGI<br> % change
1979,1.027,0.419,0.104,0.092,0.039,0.031,1.712,383,0.786,
1980,1.058,0.426,0.104,0.097,0.042,0.034,1.761,386,0.808,2.8
1981,1.077,0.433,0.107,0.102,0.044,0.036,1.799,389,0.826,2.2
1982,1.089,0.44,0.111,0.108,0.046,0.038,1.831,391,0.841,1.8
1983,1.115,0.443,0.113,0.113,0.048,0.041,1.872,394,0.86,2.3
1984,1.138,0.446,0.116,0.118,0.05,0.044,1.912,397,0.878,2.1
1985,1.161,0.451,0.118,0.123,0.053,0.047,1.953,400,0.896,2.1
1986,1.185,0.456,0.122,0.129,0.056,0.049,1.996,404,0.916,2.2
1987,1.211,0.46,0.121,0.136,0.059,0.053,2.039,407,0.936,2.2
1988,1.25,0.464,0.123,0.143,0.062,0.057,2.099,412,0.964,2.9
1989,1.274,0.468,0.126,0.149,0.064,0.061,2.143,415,0.984,2.1
1990,1.293,0.472,0.129,0.154,0.065,0.065,2.178,418,1,1.6
1991,1.312,0.476,0.131,0.158,0.067,0.069,2.213,420,1.016,1.6
1992,1.323,0.48,0.133,0.162,0.067,0.072,2.237,422,1.027,1.1
1993,1.334,0.481,0.134,0.164,0.068,0.074,2.253,424,1.034,0.7
1994,1.356,0.483,0.135,0.166,0.068,0.075,2.282,426,1.048,1.3
1995,1.383,0.485,0.137,0.168,0.067,0.077,2.317,429,1.064,1.5
1996,1.409,0.486,0.139,0.169,0.067,0.078,2.349,431,1.078,1.4
1997,1.426,0.487,0.142,0.171,0.067,0.079,2.372,433,1.089,1
1998,1.464,0.491,0.145,0.172,0.067,0.08,2.419,437,1.11,2
1999,1.495,0.494,0.147,0.173,0.066,0.082,2.457,440,1.128,1.6
2000,1.513,0.495,0.151,0.173,0.066,0.083,2.48,442,1.138,0.9
2001,1.535,0.494,0.153,0.174,0.065,0.085,2.506,444,1.15,1
2002,1.564,0.494,0.155,0.174,0.065,0.087,2.539,447,1.166,1.3
2003,1.601,0.496,0.158,0.174,0.064,0.088,2.58,450,1.185,1.6
2004,1.626,0.496,0.16,0.174,0.063,0.09,2.609,453,1.198,1.1
2005,1.655,0.495,0.162,0.173,0.063,0.092,2.64,455,1.212,1.2
2006,1.685,0.495,0.165,0.173,0.062,0.095,2.675,458,1.228,1.3
2007,1.71,0.498,0.167,0.172,0.062,0.097,2.705,461,1.242,1.2
2008,1.739,0.5,0.17,0.171,0.061,0.1,2.741,464,1.258,1.3
2009,1.76,0.502,0.172,0.17,0.061,0.103,2.768,466,1.271,1
2010,1.791,0.504,0.175,0.17,0.06,0.106,2.805,470,1.288,1.3
2011,1.817,0.506,0.178,0.169,0.06,0.109,2.838,473,1.303,1.2
